0.4099999, 0, 0, 7.098777, 1.574027, 0, 265.8278, -831.0645, -4.985368, 0.01928791, 0.1567104, 20.83511, 2.28485, 1.887131, 20.05843
0.8599995, -0.1415261, -0.07669902, 15.37311, 1.656158, 0.3205216065199021243632, 1586.65, -845.1292, -4.985368, 0.01928791, 0.1567104, 50.93544, 2.28485, 1.871222, 20.33664
 
0.8699995, -0.1356077, -0.07811428, 15.56529, 1.65827, 0.3054169642313623014947177130, 1629.764, -845.4479, -4.985368, 0.01928791, 0.1567104, 51.62391, 2.28485, 1.870869, 20.34282
 
0.8799995, -0.129336, -0.07947036, 15.75804, 1.660595, 0.2904236432501500990163177130, 1673.508, -845.7672, -4.985368, 0.01928791, 0.1567104, 52.31323, 2.28485, 1.870515, 20.349
 
0.8899994, -0.1227123, -0.08076372, 15.95102, 1.662815, 0.2755440519699322956179177130, 1717.881, -846.0864, -4.985368, 0.01928791, 0.1567104, 53.00338, 2.28485, 1.870162, 20.35518
 
0.8999994, -0.1157378, -0.08199085, 16.14435, 1.665038, 0.2607818029812137423220822870, 1762.888, -846.406, -4.985368, 0.01928791, 0.1567104, 53.69439, 2.28485, 1.869808, 20.36136
 
