# Simulation 4 (Up to date)
# 1048 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (25.6 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
18.799,1.019e4,74.356,-1.081
18.849,1.02e4,73.827,-1.079
18.899,1.021e4,73.298,-1.078
18.949,1.022e4,72.769,-1.077
18.999,1.024e4,72.241,-1.076
19.049,1.025e4,71.714,-1.075
19.099,1.026e4,71.187,-1.074
19.149,1.027e4,70.661,-1.073
19.199,1.028e4,70.136,-1.071
19.249,1.029e4,69.611,-1.07
19.299,1.031e4,69.086,-1.069
19.349,1.032e4,68.562,-1.068
19.399,1.033e4,68.038,-1.067
19.449,1.034e4,67.515,-1.066
19.499,1.035e4,66.993,-1.065
19.549,1.036e4,66.471,-1.064
19.599,1.037e4,65.95,-1.063
19.649,1.038e4,65.429,-1.062
19.699,1.039e4,64.908,-1.061
19.749,1.04e4,64.388,-1.06
19.799,1.041e4,63.869,-1.059
19.849,1.043e4,63.35,-1.058
19.899,1.044e4,62.831,-1.057
19.949,1.045e4,62.313,-1.056
19.999,1.046e4,61.796,-1.055
20.049,1.047e4,61.278,-1.054
20.099,1.048e4,60.762,-1.053
20.149,1.049e4,60.246,-1.052
20.199,1.05e4,59.73,-1.051
20.249,1.051e4,59.215,-1.05
20.299,1.052e4,58.7,-1.05
20.349,1.052e4,58.185,-1.049
20.399,1.053e4,57.671,-1.048
20.449,1.054e4,57.158,-1.047
20.499,1.055e4,56.644,-1.046
20.549,1.056e4,56.132,-1.045
20.599,1.057e4,55.619,-1.045
20.649,1.058e4,55.107,-1.044
20.699,1.059e4,54.596,-1.043
20.749,1.06e4,54.084,-1.042
20.799,1.061e4,53.574,-1.041
20.849,1.062e4,53.063,-1.041
20.899,1.062e4,52.553,-1.04
20.949,1.063e4,52.043,-1.039
20.999,1.064e4,51.534,-1.038
21.049,1.065e4,51.025,-1.037
21.099,1.066e4,50.517,-1.037
21.149,1.067e4,50.009,-1.036
21.199,1.067e4,49.501,-1.035
21.249,1.068e4,48.993,-1.035
21.299,1.069e4,48.486,-1.034
21.349,1.07e4,47.98,-1.033
21.399,1.071e4,47.473,-1.032
21.449,1.071e4,46.967,-1.032
21.499,1.072e4,46.462,-1.031
21.549,1.073e4,45.956,-1.03
21.599,1.074e4,45.451,-1.03
21.649,1.074e4,44.947,-1.029
21.699,1.075e4,44.442,-1.028
21.749,1.076e4,43.938,-1.027
21.799,1.077e4,43.435,-1.027
21.849,1.077e4,42.931,-1.026
21.899,1.078e4,42.429,-1.025
21.949,1.079e4,41.926,-1.025
21.999,1.079e4,41.424,-1.024
22.049,1.08e4,40.922,-1.023
22.099,1.081e4,40.42,-1.023
22.149,1.081e4,39.919,-1.022
22.199,1.082e4,39.418,-1.021
22.249,1.083e4,38.917,-1.021
22.299,1.083e4,38.416,-1.02
22.349,1.084e4,37.916,-1.02
22.399,1.085e4,37.417,-1.019
22.449,1.085e4,36.917,-1.018
22.499,1.086e4,36.418,-1.018
22.549,1.086e4,35.919,-1.017
22.599,1.087e4,35.421,-1.016
22.649,1.088e4,34.922,-1.016
22.699,1.088e4,34.424,-1.015
22.749,1.089e4,33.927,-1.015
22.799,1.089e4,33.429,-1.014
22.849,1.09e4,32.932,-1.013
22.899,1.09e4,32.435,-1.013
22.949,1.091e4,31.939,-1.012
22.999,1.091e4,31.443,-1.012
23.049,1.092e4,30.947,-1.011
23.099,1.092e4,30.451,-1.01
23.149,1.093e4,29.956,-1.01
23.199,1.093e4,29.461,-1.009
23.249,1.094e4,28.966,-1.009
23.299,1.094e4,28.472,-1.008
23.349,1.095e4,27.978,-1.007
23.399,1.095e4,27.484,-1.007
23.449,1.096e4,26.99,-1.006
23.499,1.096e4,26.497,-1.006
23.549,1.097e4,26.004,-1.005
23.599,1.097e4,25.511,-1.005
23.649,1.097e4,25.019,-1.004
23.699,1.098e4,24.527,-1.003
23.749,1.098e4,24.035,-1.003
23.799,1.099e4,23.543,-1.002
23.849,1.099e4,23.052,-1.002
23.899,1.099e4,22.561,-1.001
23.949,1.1e4,22.07,-1
23.999,1.1e4,21.58,-1
24.049,1.1e4,21.09,-0.999
24.099,1.101e4,20.6,-0.999
24.149,1.101e4,20.11,-0.998
24.199,1.101e4,19.621,-0.997
24.249,1.102e4,19.132,-0.997
24.299,1.102e4,18.644,-0.996
24.349,1.102e4,18.155,-0.996
24.399,1.103e4,17.667,-0.995
24.449,1.103e4,17.179,-0.994
24.499,1.103e4,16.692,-0.994
24.549,1.103e4,16.205,-0.993
24.599,1.104e4,15.718,-0.993
24.649,1.104e4,15.231,-0.992
24.699,1.104e4,14.745,-0.991
24.749,1.104e4,14.259,-0.991
24.799,1.105e4,13.773,-0.99
24.849,1.105e4,13.288,-0.99
24.899,1.105e4,12.803,-0.989
24.949,1.105e4,12.318,-0.988
24.999,1.106e4,11.834,-0.988
25.049,1.106e4,11.35,-0.987
25.099,1.106e4,10.866,-0.986
25.149,1.106e4,10.382,-0.986
25.199,1.106e4,9.899,-0.985
25.249,1.106e4,9.416,-0.985
25.299,1.107e4,8.933,-0.984
25.349,1.107e4,8.451,-0.984
25.399,1.107e4,7.969,-0.983
25.449,1.107e4,7.487,-0.982
25.499,1.107e4,7.005,-0.982
25.549,1.107e4,6.524,-0.981
25.599,1.107e4,6.043,-0.981
25.649,1.107e4,5.562,-0.98
25.699,1.107e4,5.082,-0.98
25.749,1.108e4,4.601,-0.979
25.799,1.108e4,4.121,-0.979
25.849,1.108e4,3.641,-0.979
25.899,1.108e4,3.161,-0.978
25.949,1.108e4,2.682,-0.978
25.999,1.108e4,2.202,-0.978
26.049,1.108e4,1.723,-0.977
26.099,1.108e4,1.244,-0.977
26.149,1.108e4,0.765,-0.977
26.199,1.108e4,0.286,-0.977
# Event APOGEE occurred at t=26.249 seconds
26.249,1.108e4,-0.193,-0.977
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=26.25 seconds
# Event SIM_WARN occurred at t=26.299 seconds: Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
26.299,1.108e4,-0.672,-0.978
26.382,1.108e4,-1.465,-0.955
26.467,1.108e4,-2.266,-0.934
26.555,1.108e4,-3.073,-0.913
26.646,1.108e4,-3.886,-0.892
26.74,1.108e4,-4.705,-0.873
26.836,1.107e4,-5.529,-0.853
26.935,1.107e4,-6.359,-0.834
27.037,1.107e4,-7.193,-0.814
27.142,1.107e4,-8.03,-0.795
27.25,1.106e4,-8.871,-0.775
27.361,1.106e4,-9.714,-0.756
27.475,1.106e4,-10.559,-0.735
27.592,1.105e4,-11.405,-0.715
27.713,1.105e4,-12.251,-0.693
27.837,1.104e4,-13.097,-0.671
27.966,1.104e4,-13.942,-0.648
28.098,1.103e4,-14.785,-0.625
28.235,1.102e4,-15.625,-0.6
28.377,1.102e4,-16.461,-0.574
28.525,1.101e4,-17.292,-0.547
28.679,1.1e4,-18.118,-0.519
28.84,1.099e4,-18.937,-0.491
29.008,1.098e4,-19.748,-0.461
29.186,1.097e4,-20.55,-0.43
29.374,1.095e4,-21.341,-0.398
29.573,1.094e4,-22.12,-0.365
29.786,1.092e4,-22.884,-0.332
30.016,1.091e4,-23.632,-0.298
30.265,1.089e4,-24.36,-0.264
30.538,1.086e4,-25.066,-0.229
30.84,1.084e4,-25.745,-0.195
31.179,1.081e4,-26.393,-0.161
31.565,1.078e4,-27.003,-0.128
32.016,1.074e4,-27.567,-0.096
32.516,1.069e4,-28.037,-0.068
33.016,1.064e4,-28.372,-0.048
33.516,1.06e4,-28.607,-0.033
34.016,1.055e4,-28.77,-0.022
34.516,1.05e4,-28.88,-0.015
35.016,1.046e4,-28.953,-0.009
35.516,1.041e4,-28.998,-0.005
36.016,1.036e4,-29.025,-0.003
