# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
12.749,8842.46,157.734,-1.414
12.799,8868.278,157.042,-1.41
12.849,8893.983,156.352,-1.406
12.899,8919.575,155.664,-1.401
12.949,8945.054,154.977,-1.397
12.999,8970.42,154.293,-1.394
13.049,8995.675,153.611,-1.39
13.099,9020.818,152.93,-1.386
13.149,9045.849,152.252,-1.382
13.199,9070.769,151.575,-1.378
13.249,9095.578,150.9,-1.374
13.299,9120.277,150.228,-1.371
13.349,9144.866,149.556,-1.367
13.399,9169.344,148.887,-1.363
13.449,9193.713,148.22,-1.359
13.499,9217.973,147.554,-1.356
13.549,9242.124,146.89,-1.352
13.599,9266.165,146.228,-1.349
13.649,9290.099,145.567,-1.345
13.699,9313.924,144.909,-1.342
13.749,9337.641,144.252,-1.338
13.799,9361.251,143.596,-1.335
13.849,9384.753,142.943,-1.331
13.899,9408.148,142.291,-1.328
13.949,9431.436,141.64,-1.325
13.999,9454.618,140.992,-1.321
14.049,9477.693,140.345,-1.318
14.099,9500.663,139.699,-1.315
14.149,9523.526,139.055,-1.312
14.199,9546.285,138.413,-1.308
14.249,9568.938,137.772,-1.305
14.299,9591.485,137.133,-1.302
14.349,9613.929,136.495,-1.299
14.399,9636.267,135.859,-1.296
14.449,9658.502,135.224,-1.293
14.499,9680.632,134.591,-1.29
14.549,9702.659,133.959,-1.287
14.599,9724.582,133.329,-1.284
14.649,9746.402,132.7,-1.281
14.699,9768.119,132.072,-1.278
14.749,9789.733,131.447,-1.275
14.799,9811.244,130.822,-1.272
14.849,9832.654,130.199,-1.269
14.899,9853.961,129.577,-1.267
14.949,9875.166,128.957,-1.264
14.999,9896.269,128.338,-1.261
15.049,9917.271,127.72,-1.258
15.099,9938.172,127.104,-1.256
15.149,9958.972,126.489,-1.253
15.199,9979.671,125.875,-1.25
15.249,1e4,125.263,-1.248
15.299,1.002e4,124.651,-1.245
15.349,1.004e4,124.042,-1.242
15.399,1.006e4,123.433,-1.24
15.449,1.008e4,122.826,-1.237
15.499,1.01e4,122.22,-1.235
15.549,1.012e4,121.615,-1.232
15.599,1.014e4,121.011,-1.23
15.649,1.016e4,120.409,-1.227
15.699,1.018e4,119.808,-1.225
15.749,1.02e4,119.208,-1.222
15.799,1.022e4,118.609,-1.22
15.849,1.024e4,118.012,-1.218
15.899,1.026e4,117.415,-1.215
15.949,1.028e4,116.82,-1.213
15.999,1.03e4,116.226,-1.21
16.049,1.032e4,115.633,-1.208
16.099,1.034e4,115.041,-1.206
16.149,1.035e4,114.45,-1.204
16.199,1.037e4,113.861,-1.201
16.249,1.039e4,113.272,-1.199
16.299,1.041e4,112.685,-1.197
16.349,1.043e4,112.098,-1.195
16.399,1.045e4,111.513,-1.193
16.449,1.046e4,110.929,-1.19
16.499,1.048e4,110.346,-1.188
16.549,1.05e4,109.764,-1.186
16.599,1.052e4,109.183,-1.184
16.649,1.054e4,108.602,-1.182
16.699,1.055e4,108.023,-1.18
16.749,1.057e4,107.445,-1.178
16.799,1.059e4,106.868,-1.176
16.849,1.061e4,106.292,-1.174
16.899,1.062e4,105.717,-1.172
16.949,1.064e4,105.143,-1.17
16.999,1.066e4,104.57,-1.168
17.049,1.068e4,103.998,-1.166
17.099,1.069e4,103.426,-1.164
17.149,1.071e4,102.856,-1.162
17.199,1.073e4,102.287,-1.16
17.249,1.074e4,101.718,-1.158
17.299,1.076e4,101.151,-1.157
17.349,1.078e4,100.584,-1.155
17.399,1.079e4,100.018,-1.153
17.449,1.081e4,99.453,-1.151
17.499,1.083e4,98.89,-1.149
17.549,1.084e4,98.326,-1.147
17.599,1.086e4,97.764,-1.146
17.649,1.087e4,97.203,-1.144
17.699,1.089e4,96.642,-1.142
17.749,1.091e4,96.083,-1.14
17.799,1.092e4,95.524,-1.139
17.849,1.094e4,94.966,-1.137
17.899,1.095e4,94.409,-1.135
17.949,1.097e4,93.853,-1.134
17.999,1.098e4,93.297,-1.132
18.049,1.1e4,92.743,-1.13
18.099,1.101e4,92.189,-1.129
18.149,1.103e4,91.636,-1.127
18.199,1.104e4,91.083,-1.126
18.249,1.106e4,90.532,-1.124
18.299,1.107e4,89.981,-1.122
18.349,1.109e4,89.431,-1.121
18.399,1.11e4,88.882,-1.119
18.449,1.112e4,88.333,-1.118
18.499,1.113e4,87.786,-1.116
18.549,1.115e4,87.239,-1.115
18.599,1.116e4,86.692,-1.113
18.649,1.118e4,86.147,-1.112
18.699,1.119e4,85.602,-1.11
18.749,1.12e4,85.058,-1.109
18.799,1.122e4,84.515,-1.107
18.849,1.123e4,83.972,-1.106
18.899,1.124e4,83.43,-1.105
18.949,1.126e4,82.889,-1.103
18.999,1.127e4,82.348,-1.102
19.049,1.129e4,81.808,-1.1
19.099,1.13e4,81.269,-1.099
19.149,1.131e4,80.73,-1.098
19.199,1.133e4,80.192,-1.096
19.249,1.134e4,79.655,-1.095
19.299,1.135e4,79.118,-1.094
19.349,1.136e4,78.582,-1.092
19.399,1.138e4,78.047,-1.091
19.449,1.139e4,77.512,-1.09
19.499,1.14e4,76.978,-1.089
19.549,1.142e4,76.445,-1.087
19.599,1.143e4,75.912,-1.086
19.649,1.144e4,75.38,-1.085
19.699,1.145e4,74.848,-1.084
19.749,1.146e4,74.317,-1.082
19.799,1.148e4,73.787,-1.081
19.849,1.149e4,73.257,-1.08
19.899,1.15e4,72.728,-1.079
19.949,1.151e4,72.199,-1.078
19.999,1.152e4,71.671,-1.076
20.049,1.154e4,71.143,-1.075
20.099,1.155e4,70.616,-1.074
20.149,1.156e4,70.09,-1.073
20.199,1.157e4,69.564,-1.072
20.249,1.158e4,69.039,-1.071
20.299,1.159e4,68.514,-1.07
20.349,1.16e4,67.99,-1.069
20.399,1.162e4,67.466,-1.068
20.449,1.163e4,66.943,-1.066
20.499,1.164e4,66.42,-1.065
20.549,1.165e4,65.898,-1.064
20.599,1.166e4,65.376,-1.063
20.649,1.167e4,64.855,-1.062
20.699,1.168e4,64.335,-1.061
20.749,1.169e4,63.815,-1.06
20.799,1.17e4,63.295,-1.059
20.849,1.171e4,62.776,-1.058
20.899,1.172e4,62.257,-1.057
20.949,1.173e4,61.739,-1.056
20.999,1.174e4,61.222,-1.055
21.049,1.175e4,60.704,-1.054
21.099,1.176e4,60.188,-1.053
21.149,1.177e4,59.671,-1.053
21.199,1.178e4,59.155,-1.052
21.249,1.179e4,58.64,-1.051
21.299,1.18e4,58.125,-1.05
21.349,1.181e4,57.61,-1.049
21.399,1.182e4,57.096,-1.048
21.449,1.183e4,56.582,-1.047
21.499,1.184e4,56.069,-1.046
21.549,1.185e4,55.556,-1.046
21.599,1.186e4,55.044,-1.045
21.649,1.187e4,54.532,-1.044
21.699,1.187e4,54.02,-1.043
21.749,1.188e4,53.509,-1.042
21.799,1.189e4,52.998,-1.041
21.849,1.19e4,52.487,-1.041
21.899,1.191e4,51.977,-1.04
21.949,1.192e4,51.467,-1.039
21.999,1.193e4,50.958,-1.038
22.049,1.193e4,50.449,-1.038
22.099,1.194e4,49.941,-1.037
22.149,1.195e4,49.432,-1.036
22.199,1.196e4,48.925,-1.035
22.249,1.197e4,48.417,-1.034
22.299,1.198e4,47.91,-1.034
22.349,1.198e4,47.403,-1.033
22.399,1.199e4,46.897,-1.032
22.449,1.2e4,46.391,-1.032
