# Simulation 4 (Up to date)
# 1140 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
# Event SIM_WARN occurred at t=27.249 seconds: Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
27.249,1.236e4,-0.691,-0.975
27.329,1.236e4,-1.456,-0.952
27.412,1.236e4,-2.228,-0.929
27.497,1.236e4,-3.008,-0.907
27.586,1.236e4,-3.796,-0.886
27.677,1.236e4,-4.591,-0.865
27.772,1.235e4,-5.392,-0.845
27.869,1.235e4,-6.199,-0.825
27.97,1.235e4,-7.012,-0.805
28.073,1.235e4,-7.829,-0.785
28.18,1.235e4,-8.651,-0.765
28.29,1.234e4,-9.476,-0.744
28.403,1.234e4,-10.303,-0.724
28.52,1.233e4,-11.132,-0.702
28.641,1.233e4,-11.963,-0.68
28.765,1.232e4,-12.793,-0.658
28.894,1.232e4,-13.623,-0.634
29.027,1.231e4,-14.451,-0.61
29.165,1.231e4,-15.276,-0.584
29.309,1.23e4,-16.097,-0.557
29.458,1.229e4,-16.914,-0.53
29.614,1.228e4,-17.725,-0.501
29.778,1.227e4,-18.528,-0.471
29.95,1.226e4,-19.323,-0.44
30.132,1.225e4,-20.108,-0.408
30.325,1.224e4,-20.882,-0.375
30.531,1.222e4,-21.641,-0.342
30.753,1.221e4,-22.385,-0.307
30.994,1.219e4,-23.11,-0.272
31.257,1.217e4,-23.812,-0.237
31.549,1.214e4,-24.49,-0.202
31.875,1.212e4,-25.136,-0.167
32.248,1.209e4,-25.745,-0.133
32.682,1.205e4,-26.31,-0.1
33.182,1.201e4,-26.8,-0.07
33.682,1.196e4,-27.144,-0.049
34.182,1.192e4,-27.383,-0.033
34.682,1.187e4,-27.546,-0.022
35.182,1.183e4,-27.655,-0.014
35.682,1.178e4,-27.725,-0.009
36.182,1.174e4,-27.768,-0.005
36.682,1.169e4,-27.792,-0.002
37.182,1.164e4,-27.803,-3.51e-4
37.682,1.16e4,-27.805,9.372e-4
38.182,1.155e4,-27.8,0.002
38.682,1.151e4,-27.791,0.002
39.182,1.146e4,-27.779,0.003
39.682,1.142e4,-27.765,0.003
40.182,1.137e4,-27.75,0.003
40.682,1.133e4,-27.734,0.003
41.182,1.128e4,-27.717,0.004
41.682,1.124e4,-27.7,0.004
42.182,1.119e4,-27.682,0.004
42.682,1.114e4,-27.664,0.004
43.182,1.11e4,-27.647,0.004
43.682,1.105e4,-27.629,0.004
44.182,1.101e4,-27.611,0.004
44.682,1.096e4,-27.593,0.004
45.182,1.092e4,-27.575,0.004
45.682,1.087e4,-27.558,0.004
46.182,1.083e4,-27.54,0.004
46.682,1.078e4,-27.522,0.004
47.182,1.074e4,-27.505,0.004
47.682,1.069e4,-27.487,0.004
48.182,1.065e4,-27.47,0.004
48.682,1.06e4,-27.452,0.004
49.182,1.056e4,-27.435,0.004
49.682,1.051e4,-27.418,0.004
50.182,1.047e4,-27.4,0.004
50.682,1.042e4,-27.383,0.003
51.182,1.038e4,-27.366,0.003
51.682,1.033e4,-27.349,0.003
52.182,1.029e4,-27.332,0.003
52.682,1.024e4,-27.315,0.003
53.182,1.02e4,-27.298,0.003
53.682,1.015e4,-27.281,0.004
54.182,1.011e4,-27.264,0.004
54.682,1.006e4,-27.247,0.004
55.182,1.002e4,-27.229,0.004
55.682,9974.037,-27.212,0.004
56.182,9929.413,-27.194,0.004
56.682,9884.818,-27.177,0.004
57.182,9840.251,-27.159,0.004
57.682,9795.713,-27.142,0.004
58.182,9751.203,-27.124,0.004
58.682,9706.722,-27.107,0.004
59.182,9662.269,-27.09,0.004
59.682,9617.844,-27.073,0.003
60.182,9573.448,-27.055,0.003
60.682,9529.079,-27.038,0.003
61.182,9484.739,-27.021,0.003
61.682,9440.427,-27.004,0.003
62.182,9396.142,-26.987,0.003
62.682,9351.885,-26.971,0.003
63.182,9307.656,-26.954,0.003
63.682,9263.454,-26.937,0.003
64.182,9219.28,-26.92,0.003
64.682,9175.133,-26.904,0.003
65.182,9131.013,-26.887,0.003
65.682,9086.92,-26.871,0.003
66.182,9042.855,-26.854,0.003
66.682,8998.816,-26.838,0.003
67.182,8954.804,-26.821,0.003
67.682,8910.82,-26.805,0.003
68.182,8866.861,-26.789,0.003
68.682,8822.93,-26.773,0.003
69.182,8779.025,-26.756,0.003
69.682,8735.147,-26.74,0.003
70.182,8691.294,-26.724,0.003
